City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
291,Xining,CN,36.6167,101.7667,33.55,81,100,2.77,overcast clouds
292,Kocs,HU,47.6075,18.2152,40.68,73,56,2.21,broken clouds
293,Alexandria,EG,31.2156,29.9553,70.41,73,83,7.61,broken clouds
294,Tabou,CI,4.423,-7.3528,76.77,89,100,5.61,overcast clouds
295,Ginir,ET,7.1333,40.7,55.96,83,7,4.27,clear sky
296,Samarai,PG,-10.6167,150.6667,83.12,76,29,10.54,scattered clouds
297,Bandhi,PK,26.5861,68.3006,62.47,29,0,5.06,clear sky
298,Umea,SE,63.8284,20.2597,33.91,100,47,0.0,fog
299,Esil,KZ,51.9556,66.4042,27.3,62,2,7.05,clear sky
300,Padang,ID,-0.9492,100.3543,77.05,81,100,2.42,overcast clouds
301,La Ronge,CA,55.1001,-105.2842,42.24,89,100,7.54,overcast clouds
302,Kaitangata,NZ,-46.2817,169.8464,60.48,69,65,7.36,broken clouds
303,Acarau,BR,-2.8856,-40.12,80.06,77,6,17.22,clear sky
304,Kruisfontein,ZA,-34.0033,24.7314,64.89,83,97,17.31,overcast clouds
305,Faya,SA,18.3851,42.4509,55.92,71,2,1.83,clear sky
306,Sironko,UG,1.2313,34.2477,65.32,70,96,4.23,overcast clouds
307,Soyo,AO,-6.1349,12.3689,76.12,84,98,8.28,overcast clouds
308,Noumea,NC,-22.2763,166.4572,85.98,99,100,11.16,overcast clouds
309,Port Lincoln,AU,-34.7333,135.8667,71.01,57,11,4.94,few clouds
310,Lasa,IT,46.6166,10.7002,37.36,70,50,1.86,scattered clouds
311,Kushiro,JP,42.975,144.3747,55.71,69,0,1.97,clear sky
312,Muros,ES,42.7762,-9.0603,58.23,95,14,4.59,few clouds
313,Andenes,NO,69.3143,16.1194,35.58,87,90,14.97,overcast clouds
314,Fortuna,US,40.5982,-124.1573,57.54,73,90,1.01,light rain
315,Laguna,US,38.421,-121.4238,65.46,62,90,4.61,overcast clouds
316,Olinda,BR,-8.0089,-34.8553,80.33,69,75,8.05,broken clouds
317,Shimoda,JP,34.6667,138.95,62.1,73,94,1.72,overcast clouds
318,Ketchikan,US,55.3422,-131.6461,46.87,93,90,13.8,light rain
319,Vagur,FO,61.4732,-6.8119,49.53,89,2,24.02,clear sky
320,Mwene-Ditu,CD,-7.0,23.45,66.22,91,92,1.77,overcast clouds
321,Tucuma,BR,-0.1833,-50.05,78.91,76,100,7.36,overcast clouds
